Product ID,Name,Supplier ID,Supplier Name,Manufacturer ID,Maufacturer Name,Active
4818,Perenzo 2016 - Syrah Maremma Toscana Doc - Fattoria di Magliano,92,Fattoria di Magliano,110,Fattoria di Magliano,1
4819,Lamole 2018 - Chianti Classico DOCG - I Fabbri,52,I Fabbri,51,I Fabbri,1
4820,Il Doccio 2015 - Toscana IGT - I Fabbri,52,I Fabbri,51,I Fabbri,1
4821,I Fabbri Riserva 2015 - Riserva DOCG Chianti Classico - I Fabbri,52,I Fabbri,51,I Fabbri,1
4822,I Fabbri Black Label Gran Selezione 2015 - Chianti Classico Gran Selezione DOCG - I Fabbri,52,I Fabbri,51,I Fabbri,1
4823,Servaj Bio 2019 - Langhe DOC Favorita - Deltetto,27,Deltetto,26,Deltetto,1
4824,Gavi 2019 - Gavi DOCG del Comune di Gavi - Deltetto,27,Deltetto,26,Deltetto,1
4825,Annalidia 2019 - Moscato d'Asti DOCG - Deltetto,27,Deltetto,26,Deltetto,1
4826,Daivej 2019 - Roero Arneis DOCG - Deltetto ,27,Deltetto,26,Deltetto,1
4827,Bramè 2018 - Barbera d'Alba Superiore DOC - Deltetto,27,Deltetto,26,Deltetto,1
4828,Pinot Nero 777 2018 - Langhe DOC - Deltetto,27,Deltetto,26,Deltetto,1
4829,Fruttaio Cà  Rizzieri 2017 - Sfursat di Valtellina DOCG - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4830,Gewürztraminer 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4831,Lagrein 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4832,Pauciuri Rosso 2017 - Calabria IGP - Tenute Pacelli,94,Tenute Pacelli,112,Tenute Pacelli,1
4833,Malvarosa 2018 - Calabria IGP Biologico - Tenute Pacelli,94,Tenute Pacelli,112,Tenute Pacelli,1
4834,Core Rosso 2017 - Campania Igt - Montevetrano,15,Azienda Agricola Montevetrano,21,Azienda Agricola Montevetrano,1
4835,"Core Rosso 2016 Magnum 1,5 L - Campania IGT - Montevetrano",15,Azienda Agricola Montevetrano,21,Azienda Agricola Montevetrano,1
4836,"Core Rosso 2017 Magnum 1,5 L - Campania IGT - Montevetrano",15,Azienda Agricola Montevetrano,21,Azienda Agricola Montevetrano,1
4837,San Vigilio 2019 - Lugana DOC - Selva Capuzza,97,Selva Capuzza,115,Selva Capuzza,1
4838,Hirundo Metodo Classico 2017 - Lugana doc Brut - Selva Capuzza,97,Selva Capuzza,115,Selva Capuzza,1
4840,Roero Riserva Braja 2016 - Roero DOCG - Deltetto,27,Deltetto,26,Deltetto,1
4842,Spumante Millesimato Christian Bellei 2015 - VSQ Brut Metodo Classico - Cantina della Volta,51,Cantina della Volta,50,Cantina della Volta,1
4843,Lambrusco Rosè di Sorbara Spumante 2015 - DOC Metodo Classico - Cantina della Volta,51,Cantina della Volta,50,Cantina della Volta,1
4844,Castello di Fonterutoli 2018 - Chianti Classico DOCG - Mazzei,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
4845,Ser Lapo 2017 - Chianti Classico Riserva DOCG - Mazzei,47,Castello di Fonterutoli,46,Castello di Fonterutoli,1
4846,Belguardo Vermentino 2019 - Vermentino di Toscana IGT - Tenuta Belguardo,47,Castello di Fonterutoli,69,Tenuta Belguardo,1
4847,Amore e Follia IGT Toscana Rosso 2016,86,Podere Le Ripi,86,Podere Le Ripi,1
4848,Langhe Nebbiolo DOC 2018 - Parusso,17,Parusso,6,Parusso,1
4849,Barolo Etichetta Bianca DOCG 2016,17,Parusso,6,Parusso,1
4850,Morellino di Scansano Riserva 2017 DOCG - Fattoria le Pupille,76,Fattoria Le Pupille,77,Fattoria Le Pupille,1
4851,Morellino di Scansano DOCG 2019 - Fattoria le Pupille,76,Fattoria Le Pupille,77,Fattoria Le Pupille,1
4853,Dani 2017 - Nizza DOP - Villa Giada,24,Villa Giada,25,Villa Giada,1
4854,Rosarò 2019 - Negroamaro Rosè IGT Salento - Feudi di Guagnano,28,Feudi di Guagnano,27,Feudi di Guagnano,1
4855,Il Ghizzano bianco 2019 - IGT Costa Toscana - Biodinamico Demeter - Tenuta di Ghizzano,21,Tenuta di Ghizzano,23,Tenuta di Ghizzano,1
4856,Veneroso 2016 - Rosso DOC Terre di Pisa Bio - Tenuta di Ghizzano,21,Tenuta di Ghizzano,23,Tenuta di Ghizzano,1
4859,Soffocone di Vincigliata Bio 2017 - IGT Toscana Rosso - Bibi Graetz,37,Bibi Graetz,37,Bibi Graetz,1
4860,Schiava 2018,8,Glassierhof,12,Glassierhof,1
4861,Sauvignon 2015,8,Glassierhof,12,Glassierhof,1
4862,Pinot Nero 2016,8,Glassierhof,12,Glassierhof,1
4863,Pruno Riserva 2016 - Romagna DOC Sangiovese Superiore - Drei Donà ,29,Drei Donà ,28,Drei Donà ,1
4864,Notturno 2018 - Predappio DOC - Drei Donà ,29,Drei Donà ,28,Drei Donà ,1
4866,Scopeto 2019 - IGT Toscana Bianco - Bibi Graetz,37,Bibi Graetz,37,Bibi Graetz,1
4867,Testamatta Rosso 2016 - IGT Toscana Rosso - Bibi Graetz,37,Bibi Graetz,37,Bibi Graetz,1
4868,Per Eva 2018 - Costa dâ€™Amalfi bianco doc - Tenuta San Francesco,40,Tenuta San Francesco,40,Tenuta San Francesco,1
4869,E' Iss 2017,40,Tenuta San Francesco,40,Tenuta San Francesco,1
4870,Tramonti Rosso 2017,40,Tenuta San Francesco,40,Tenuta San Francesco,1
4871,Casole 2019 ,52,I Fabbri,51,I Fabbri,1
4872,Riesling 2019 - Südtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4873,Valpolicella Superiore Doc Bio 2018 - Bonfanti vini,44,Bonfanti,43,Bonfanti Vini,1
4874,Amarone della Valpolicella DOCG 2016 - Gran Lombardo - Bonfanti  Vini ,44,Bonfanti,43,Bonfanti Vini,1
4875,Valpolicella Superiore Ripasso Doc Bio 2018 - Bonfanti Vini,44,Bonfanti,43,Bonfanti Vini,1
4876,Sassella Riserva 2016 - Valtellina Superiore DOCG - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4877,"Fruttaio Cà  Rizzieri 2016 Magnum 1,5 L - Sfursat di Valtellina DOCG - Rainoldi",57,Rainoldi,56,Rainoldi ,1
4881,"Barolo Etichetta Bianca DOCG 2016 Magnum 1,5 L",17,Parusso,6,Parusso,1
4882,Lagrein Riserva TABER 2017 - Südtirol - Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4883,"Lagrein Riserva TABER 2017 Magnum 1,5 - Südtirol Alto Adige DOC - Cantina di Bolzano",62,Cantina di Bolzano,62,Cantina di Bolzano,1
4884,Pinot Grigio 2019 - Südtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4885,Chardonnay 2019 - Südtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4886,Pinot Bianco 2019 - Südtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4887,Gewürztraminer Kleinstein 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4888,"Gewürztraminer Kleinstein 2019 Magnum 1,5L - Sudtirol Alto Adige DOC - Cantina di Bolzano",62,Cantina di Bolzano,62,Cantina di Bolzano,1
4889,Chardonnay Kleinstein 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4890,Kerner 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4891,Sauvignon 2019 - Südtirol  Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4892,Verdicchio di Matelica DOC Bio 2019 - Bisci ,78,Azienda Agricola Bisci,79,Azienda Agricola Bisci,1
4893,Pinot Nero 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4894,Lagrein Perl 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4895,Lagrein Baron Eyrl 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4896,Sauvignon Mock 2019 - Sudtirol Alto Adige DOC - Cantina di Bolzano,62,Cantina di Bolzano,62,Cantina di Bolzano,1
4897,Gavi 2019 - Gavi DOCG Bio - Ghio Vini  ,95,Ghio Vini,113,Ghio Vini,1
4898,Il Cantico della Figura 2017 - Verdicchio dei Castelli di Jesi Riserva Docg - Andrea Felici,66,Andrea Felici,66,Andrea Felici,1
4899,Rosa Caolino 2019 - IGT Terre Siciliane Rosato - Tenuta di Castellaro,71,Tenuta di Castellaro,70,Tenuta di Castellaro,1
4900,Terra di Lamole 2017 - Chianti Classico DOCG - I Fabbri,52,I Fabbri,51,I Fabbri,1
4901,Olinto 2017 - Chianti Classico DOCG - I Fabbri,52,I Fabbri,51,I Fabbri,1
4902,Surì Rosso 2018 - Barbera d'Asti - Villa Giada ,24,Villa Giada,25,Villa Giada,1
4904,Langhe DOC Bianco 2019 - Parusso,17,Parusso,6,Parusso,1
4905,Paruss Rosato Nebbiolo - Langhe DOC Regione Piemonte - Parusso,17,Parusso,6,Parusso,1
4906,Parusso Metodo Classico Brut 2015 - Parusso,17,Parusso,6,Parusso,1
4907,"Parusso Metodo Classico Brut 2015 Magnum 1,5 L - Parusso",17,Parusso,6,Parusso,1
4908,"Sauvignon Rovella 2017 Magnum 1,5 L - Langhe DOC - Parusso",17,Parusso,6,Parusso,1
4909,"Langhe Nebbiolo DOC 2018 Magnum 1,5 L - Parusso",17,Parusso,6,Parusso,1
4910,Barolo Bussia Riserva 2011 Etichetta Oro - Barolo DOCG - Parusso,17,Parusso,6,Parusso,1
4911,"Barolo Bussia Riserva 2011 Magnum 1,5L Etichetta Oro - Barolo DOCG - Parusso",17,Parusso,6,Parusso,1
4912,Barolo Mosconi 2016 - Barolo DOCG - Parusso,17,Parusso,6,Parusso,1
4913,Barolo Mariondino 2016 - Barolo DOCG - Parusso,17,Parusso,6,Parusso,1
4914,"Barolo Mariondino 2016 Magnum 1,5L - Barolo DOCG - Parusso",17,Parusso,6,Parusso,1
